Image,Entropy(bits),Avg_Gradient,time/frame
0402_dehazed.png,7.5207,51.0738,0.0215
0403_dehazed.png,7.519,51.0251,0.0283
0404_dehazed.png,7.5176,51.0343,0.0266
0405_dehazed.png,7.5167,51.0791,0.0249
0406_dehazed.png,7.5162,51.058,0.0223
0407_dehazed.png,7.5173,51.1109,0.0302
0408_dehazed.png,7.5216,51.1245,0.0244
0409_dehazed.png,7.5348,51.0247,0.0287
0410_dehazed.png,7.5269,50.8694,0.0268
0411_dehazed.png,7.5244,50.8246,0.0244
0412_dehazed.png,7.5206,50.7739,0.0198
0413_dehazed.png,7.5192,50.7789,0.0198
0414_dehazed.png,7.5205,50.858,0.0241
0415_dehazed.png,7.524,50.9199,0.0226
0416_dehazed.png,7.5247,50.9314,0.0213
0417_dehazed.png,7.5276,50.9013,0.0251
0418_dehazed.png,7.5263,50.841,0.0260
0419_dehazed.png,7.5269,50.7837,0.0247
0420_dehazed.png,7.5278,50.7172,0.0289
0421_dehazed.png,7.5339,50.8092,0.0276
0422_dehazed.png,7.5256,50.6763,0.0196
0423_dehazed.png,7.5265,50.6255,0.0216
0424_dehazed.png,7.5277,50.5725,0.0241
0425_dehazed.png,7.5284,50.5549,0.0229
0426_dehazed.png,7.5279,50.4706,0.0290
0427_dehazed.png,7.5296,50.3727,0.0259
0428_dehazed.png,7.5292,50.2961,0.0289
0429_dehazed.png,7.5278,50.2148,0.0204
0430_dehazed.png,7.5277,50.0416,0.0250
0431_dehazed.png,7.5305,49.9287,0.0289
0432_dehazed.png,7.5311,49.8452,0.0207
0433_dehazed.png,7.5379,50.0008,0.0212
0434_dehazed.png,7.5346,49.9573,0.0295
0435_dehazed.png,7.5347,49.9131,0.0207
0436_dehazed.png,7.5336,49.9174,0.0215
0437_dehazed.png,7.5343,49.9137,0.0213
0438_dehazed.png,7.5346,49.9293,0.0237
0439_dehazed.png,7.535,49.9498,0.0234
0440_dehazed.png,7.5347,49.9576,0.0255
0441_dehazed.png,7.5355,49.9623,0.0242
0442_dehazed.png,7.5353,49.9233,0.0221
